faculty,,,,,
,,,Speed,24hr,Season
,max,min,max,,
,°C,°C,km/h,mm,mm
date,tmax,tmin,wind,rain24h,rain_season
01/01/2020,17.7,7.5,19.6,0,0
02/01/2020,17.6,9.1,28.8,0.1,0.1
03/01/2020,16,0,45.3,0,0.1
04/01/2020,13.2,10.1,44.4,13.5,13.6
05/01/2020,16,10.1,45.3,15.3,28.9
06/01/2020,17.9,9.9,29.7,0,28.9
07/01/2020,18.2,10.2,48.1,0.1,29
08/01/2020,14.8,9.8,50.8,13.2,42.2
09/01/2020,13.2,8.9,36.1,63.7,105.9
10/01/2020,15.1,8.1,27,9.9,115.8
11/01/2020,17.5,7.3,19.6,0,115.8
12/01/2020,17.4,10.4,24.2,0.1,115.9
13/01/2020,18.3,10.7,25.1,0,115.9
14/01/2020,20.1,10.1,15.9,0,115.9
15/01/2020,21.2,11,20.5,0,115.9
16/01/2020,24.6,13.9,24.2,0,115.9
17/01/2020,16.8,1,32.5,2.4,118.3
18/01/2020,17.3,11.6,23.3,7.1,125.4
19/01/2020,15.5,10.8,38.9,23.7,149.1
20/01/2020,13.9,10.8,35.2,12.1,161.2
21/01/2020,13.4,7.8,42.6,29.6,190.8
22/01/2020,12.5,7.7,21.5,12.1,202.9
23/01/2020,16.3,7,30.6,1,203.9
24/01/2020,15,0,49,23,226.9
25/01/2020,15.3,4.6,17.8,0,226.9
26/01/2020,16.5,5.3,24.2,0,226.9
27/01/2020,18.2,6.2,26,0,226.9
28/01/2020,17.3,7.9,21.5,0,226.9
29/01/2020,18.6,10.5,46.2,2.4,229.3
30/01/2020,18.3,8.6,23.3,0.1,229.4
31/01/2020,17.6,10.3,38,5.2,234.6
01/02/2020,17.5,8.4,29.7,0.3,234.9
02/02/2020,18.8,10.4,21.5,2.2,237.1
03/02/2020,18.4,7.6,24.2,0.1,237.2
04/02/2020,18.6,9.1,23.3,0,237.2
05/02/2020,21.1,9.8,22.4,0,237.2
06/02/2020,24,11,37.1,0,237.2
07/02/2020,15.7,11.8,39.8,2.9,240.1
08/02/2020,15.2,9.5,47.2,13.2,253.3
09/02/2020,12.5,8.1,30.6,1.3,254.6
10/02/2020,12.4,5.6,23.3,0.5,255.1
11/02/2020,15.3,6.8,34.3,1.1,256.2
12/02/2020,19.1,10.3,30.6,1.8,258
13/02/2020,20.5,10.7,26,0,258
14/02/2020,21.9,8.4,22.4,0,258
15/02/2020,20.2,11.4,22.4,0,258
16/02/2020,19.6,11.7,23.3,1.3,259.3
17/02/2020,19.6,10.8,23.3,0.1,259.4
18/02/2020,22.3,9.7,20.5,0,259.4
19/02/2020,16.5,12.1,30.6,9.5,268.9
20/02/2020,18.1,11.2,22.4,2.2,271.1
21/02/2020,20.1,10.7,36.1,0,271.1
22/02/2020,16.7,10.6,25.1,7.5,278.6
23/02/2020,18.3,10.1,21.5,0,278.6
24/02/2020,18,8.9,27,0,278.6
25/02/2020,18.1,11.5,36.1,0,278.6
26/02/2020,18.4,11.4,27.9,0,278.6
27/02/2020,22.5,9,19.6,0,278.6
28/02/2020,22.6,10.1,24.2,0,278.6
29/02/2020,18.6,9.1,38.9,7.4,286
01/03/2020,18,11.9,48.1,3,289
02/03/2020,18.3,10.1,24.2,0,289
03/03/2020,21.1,8.4,27,0,289
04/03/2020,23.8,8.4,16.9,0.1,289.1
05/03/2020,29.8,10.3,27.9,0,289.1
06/03/2020,19.2,12,49.9,15.3,304.4
07/03/2020,19.1,10.8,24.2,0.1,304.5
08/03/2020,24.8,9.5,25.1,0,304.5
09/03/2020,29.7,11.9,28.8,0,304.5
10/03/2020,20.1,13.5,28.8,0,304.5
11/03/2020,22.9,10.9,20.5,0,304.5
12/03/2020,26.5,16.3,43.5,2.9,307.4
13/03/2020,19.1,13.5,53.6,31.3,338.7
14/03/2020,19.2,14.3,38,1.9,340.6
15/03/2020,21.6,12.7,19.6,0.1,340.7
16/03/2020,23.7,12.7,19.6,0,340.7
17/03/2020,19.2,10.7,37.1,11.5,352.2
18/03/2020,16.6,11.2,38,9.8,362
19/03/2020,16.6,10.5,49.9,3.2,365.2
20/03/2020,14.2,8.8,37.1,9.8,375
21/03/2020,15.2,8,28.8,6.9,381.9
22/03/2020,18.3,8.2,27,0,381.9
23/03/2020,26.8,8.8,20.5,0,381.9
24/03/2020,21.5,13.2,33.4,0,381.9
