"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IS000009972","1949-12","29.55","34.95","12.0","ELAT, IS","","","","","4",",E","3",",E","0",",E","","","","","","","","","","","","","8.0",",,E,20,","","","","","","","15.9",",,,E","","","","","",""
"IS000009972","1950-01","29.55","34.95","12.0","ELAT, IS","5.8","G","5.8","1,G","2",",E","1",",E","0",",E","0",",G","0",",G","0","1,G","8","1,G","0","1,G","1.0",",G,28,","2.9",",,E,08,","25.0","1,G,05,","","","136.8","1,G","3.6",",,,E","13.94","1,G","19.40","1,,,G","8.48",",,,G"
"IS000009972","1950-02","29.55","34.95","12.0","ELAT, IS","11.1","G","5.3","1,G","1",",E","0",",E","0",",E","0",",G","0",",G","0","1,G","14","1,G","0","1,G","1.0",",G,07,","0.3",",,E,05,","29.0","1,G,19,","","","95.8","1,G","0.4",",,,E","15.03","1,G","21.56","1,,,G","8.50",",,,G"
"IS000009972","1950-03","29.55","34.95","12.0","ELAT, IS","54.6","G","43.5","1,G","2",",E","1",",E","0",",E","0",",G","0",",G","0","1,G","29","1,G","0","1,G","9.0",",G,19,+","7.7",",,E,16,","32.0","1,G,01,","","","13.0","1,G","8.9",",,,E","19.38","1,G","25.53","1,,,G","13.23",",,,G"
"IS000009972","1950-04","29.55","34.95","12.0","ELAT, IS","234.4","G","179.8","3,G","3",",E","0",",E","0",",E","0","1,G","0","1,G","0","2,G","28","2,G","11","2,G","12.0","1,G,12,","1.4",",,E,08,","38.0","2,G,26,","","","0.3","2,G","3.3",",,,E","24.95","3,G","31.38","2,,,G","18.53","1,,,G"
"IS000009972","1950-05","29.55","34.95","12.0","ELAT, IS","","","","","1",",E","1",",E","0",",E","0","2,G","0","2,G","","","","","","","14.0","2,G,13,","9.8",",,E,11,","","","","","","","9.8",",,,E","","","","","20.86","2,,,G"
"IS000009972","1950-06","29.55","34.95","12.0","ELAT, IS","","","316.2","5,G","0",",E","0",",E","0",",E","0","2,G","0","2,G","0","3,G","27","3,G","27","3,G","21.0","2,G,11,+","0.0",",,E,30,+","41.0","3,G,25,+","","","0.0","3,G","0.0",",,,E","31.03","5,G","38.41","3,,,G","23.64","2,,,G"
"IS000009972","1950-07","29.55","34.95","12.0","ELAT, IS","","","","","0",",E","0",",E","0",",E","0","3,G","0","3,G","","","","","","","23.0","3,G,28,","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","25.25","3,,,G"
"IS000009972","1950-08","29.55","34.95","12.0","ELAT, IS","","","","","0",",E","0",",E","0",",E","0","1,G","0","1,G","","","","","","","22.0","1,G,10,","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","26.07","1,,,G"
"IS000009972","1950-09","29.55","34.95","12.0","ELAT, IS","","","318.8","4,G","0",",E","0",",E","0",",E","0","1,G","0","1,G","0","3,G","27","3,G","27","3,G","20.0","1,G,15,","0.0",",,E,30,+","41.0","3,G,07,","","","0.0","3,G","0.0",",,,E","30.64","4,G","37.56","3,,,G","23.72","1,,,G"
"IS000009972","1950-10","29.55","34.95","12.0","ELAT, IS","","","213.7","3,G","1",",E","0",",E","0",",E","0","1,G","0","1,G","0","2,G","29","2,G","15","2,G","14.0","1,G,26,","0.3",",,E,17,","38.0","2,G,01,","","","0.0","2,G","0.3",",,,E","25.94","3,G","32.52","2,,,G","19.37","1,,,G"
"IS000009972","1950-11","29.55","34.95","12.0","ELAT, IS","","","","","1",",E","1",",E","0",",E","0","3,G","0","3,G","0","4,G","26","4,G","2","4,G","12.0","3,G,29,+","10.8",",,E,09,","36.0","4,G,01,","","","","","10.8",",,,E","21.83","7,G","28.73","4,,,G","14.93","3,,,G"
"IS000009972","1950-12","29.55","34.95","12.0","ELAT, IS","","","","","2",",E","1",",E","0",",E","0","3,G","0","3,G","0","3,G","25","3,G","0","3,G","6.0","3,G,30,","3.6",",,E,27,","30.0","3,G,18,+","","","","","5.5",",,,E","18.45","6,G","24.86","3,,,G","12.04","3,,,G"
"IS000009972","1951-01","29.55","34.95","12.0","ELAT, IS","1.0","G","1.0","1,G","2",",E","0",",E","0",",E","0",",G","0",",G","0","1,G","20","1,G","0","1,G","7.0",",G,17,","1.6",",,E,06,","27.0","1,G,31,","","","69.5","1,G","1.9",",,,E","16.02","1,G","22.10","1,,,G","9.94",",,,G"
"IS000009972","1951-02","29.55","34.95","12.0","ELAT, IS","16.3","G","15.3",",G","2",",E","0",",E","0",",E","0",",G","0",",G","0",",G","20",",G","0",",G","7.0",",G,13,","1.5",",,E,11,","29.0",",G,28,","","","35.7",",G","2.4",",,,E","17.61",",G","23.11",",,,G","12.11",",,,G"
"IS000009972","1951-03","29.55","34.95","12.0","ELAT, IS","129.8","G","113.5","1,G","1",",E","0",",E","0",",E","0","1,G","0","1,G","0",",G","31",",G","3",",G","12.0","1,G,11,","0.4",",,E,23,","33.0",",G,23,+","","","0.0",",G","0.4",",,,E","22.04","1,G","28.42",",,,G","15.67","1,,,G"
"IS000009972","1951-04","29.55","34.95","12.0","ELAT, IS","308.5","G","178.7","2,G","0",",E","0",",E","0",",E","0",",G","0",",G","0","2,G","28","2,G","11","2,G","14.0",",G,21,+","0.0",",,E,30,+","36.0","2,G,30,+","","","0.0","2,G","0.0",",,,E","24.73","2,G","31.32","2,,,G","18.13",",,,G"
"IS000009972","1951-05","29.55","34.95","12.0","ELAT, IS","","","","","0",",E","0",",E","0",",E","0","1,G","0","1,G","","","","","","","16.0","1,G,03,+","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","21.87","1,,,G"
"IS000009972","1951-06","29.55","34.95","12.0","ELAT, IS","","","348.7","2,G","0",",E","0",",E","0",",E","0",",G","0",",G","0","2,G","28","2,G","28","2,G","20.0",",G,20,+","0.0",",,E,30,+","43.0","2,G,07,","","","0.0","2,G","0.0",",,,E","30.87","2,G","38.11","2,,,G","23.63",",,,G"
"IS000009972","1951-07","29.55","34.95","12.0","ELAT, IS","","","","","0",",E","0",",E","0",",E","","","","","0","4,G","27","4,G","27","4,G","","","0.0",",,E,31,+","42.0","4,G,19,+","","","","","0.0",",,,E","","","39.56","4,,,G","",""
"IS000009972","1951-08","29.55","34.95","12.0","ELAT, IS","","","462.7",",G","0",",E","0",",E","0",",E","0",",G","0",",G","0",",G","31",",G","31",",G","23.0",",G,06,","0.0",",,E,31,+","43.0",",G,18,+","","","0.0",",G","0.0",",,,E","33.26",",G","40.13",",,,G","26.39",",,,G"
"IS000009972","1951-09","29.55","34.95","12.0","ELAT, IS","","","360.7","2,G","0",",E","0",",E","0",",E","0","2,G","0","2,G","0",",G","30",",G","29",",G","21.0","2,G,30,","0.0",",,E,30,+","42.0",",G,10,+","","","0.0",",G","0.0",",,,E","31.27","2,G","37.57",",,,G","24.96","2,,,G"
"IS000009972","1951-10","29.55","34.95","12.0","ELAT, IS","","","260.7",",G","0",",E","0",",E","0",",E","0",",G","0",",G","0",",G","31",",G","16",",G","17.0",",G,31,+","0.0",",,E,31,+","38.0",",G,04,","","","0.0",",G","0.0",",,,E","26.74",",G","32.55",",,,G","20.94",",,,G"
"IS000009972","1951-11","29.55","34.95","12.0","ELAT, IS","","","87.8","1,G","0",",E","0",",E","0",",E","0","1,G","0","1,G","0",",G","30",",G","0",",G","11.0","1,G,30,+","0.1",",,E,04,","32.0",",G,05,","","","2.0",",G","0.1",",,,E","21.34","1,G","27.53",",,,G","15.14","1,,,G"
