"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"UKM00003772","1948-12-01","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   31","H,,S"
"UKM00003772","1948-12-02","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   92","H,,S"
"UKM00003772","1948-12-03","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"  123","H,,S"
"UKM00003772","1948-12-04","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   82","H,,S"
"UKM00003772","1948-12-05","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   61","H,,S"
"UKM00003772","1948-12-06","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"  106","H,,S"
"UKM00003772","1948-12-07","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"  129","H,,S"
"UKM00003772","1948-12-08","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"  102","H,,S"
"UKM00003772","1948-12-09","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   99","H,,S"
"UKM00003772","1948-12-10","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   98","H,,S"
"UKM00003772","1948-12-11","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"  108","H,,S"
"UKM00003772","1948-12-12","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   99","H,,S"
"UKM00003772","1948-12-13","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"  103","H,,S"
"UKM00003772","1948-12-14","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"  128","H,,S"
"UKM00003772","1948-12-15","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   65","H,,S"
"UKM00003772","1948-12-16","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   50","H,,S"
"UKM00003772","1948-12-17","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   68","H,,S"
"UKM00003772","1948-12-18","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   66","H,,S"
"UKM00003772","1948-12-19","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   49","H,,S"
"UKM00003772","1948-12-20","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   43","H,,S"
"UKM00003772","1948-12-21","51.478","-0.461","25.3","HEATHROW, UK",,,,,,,,,"   58","H,,S"
