"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IS000002011","1939-11","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","7",",E","5",",E","2",",E","","","","","","","","","","","","","62.7",",,E,09,","","","","","","","106.5",",,,E","","","","","",""
"IS000002011","1939-12","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","7",",E","7",",E","1",",E","","","","","","","","","","","","","27.1",",,E,31,","","","","","","","100.1",",,,E","","","","","",""
"IS000002011","1940-01","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","11",",E","8",",E","3",",E","","","","","","","","","","","","","62.9",",,E,27,","","","","","","","181.5",",,,E","","","","","",""
"IS000002011","1940-02","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","6",",E","4",",E","1",",E","","","","","","","","","","","","","32.8",",,E,22,","","","","","","","57.7",",,,E","","","","","",""
"IS000002011","1940-03","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","7",",E","3",",E","0",",E","","","","","","","","","","","","","8.1",",,E,20,","","","","","","","27.2",",,,E","","","","","",""
"IS000002011","1940-04","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","1",",E","0",",E","0",",E","","","","","","","","","","","","","1.9",",,E,03,","","","","","","","1.9",",,,E","","","","","",""
"IS000002011","1940-05","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1940-06","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,30,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1940-07","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1940-08","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1940-09","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,30,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1940-10","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","4",",E","3",",E","0",",E","","","","","","","","","","","","","6.0",",,E,12,","","","","","","","16.0",",,,E","","","","","",""
"IS000002011","1940-11","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","12",",E","8",",E","2",",E","","","","","","","","","","","","","38.3",",,E,13,","","","","","","","109.4",",,,E","","","","","",""
"IS000002011","1940-12","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","10",",E","10",",E","3",",E","","","","","","","","","","","","","36.9",",,E,20,","","","","","","","162.3",",,,E","","","","","",""
"IS000002011","1941-01","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","7",",E","4",",E","0",",E","","","","","","","","","","","","","9.7",",,E,12,","","","","","","","32.0",",,,E","","","","","",""
"IS000002011","1941-02","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","4",",E","3",",E","1",",E","","","","","","","","","","","","","32.7",",,E,28,","","","","","","","45.0",",,,E","","","","","",""
"IS000002011","1941-03","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","7",",E","5",",E","2",",E","","","","","","","","","","","","","29.5",",,E,01,","","","","","","","79.4",",,,E","","","","","",""
"IS000002011","1941-04","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","3",",E","0",",E","0",",E","","","","","","","","","","","","","2.1",",,E,13,","","","","","","","3.7",",,,E","","","","","",""
"IS000002011","1941-05","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1941-06","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,30,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1941-07","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1941-08","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1941-09","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,30,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1941-10","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","4",",E","3",",E","0",",E","","","","","","","","","","","","","18.0",",,E,19,","","","","","","","24.6",",,,E","","","","","",""
"IS000002011","1941-11","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","2",",E","0",",E","0",",E","","","","","","","","","","","","","1.9",",,E,17,","","","","","","","2.4",",,,E","","","","","",""
"IS000002011","1941-12","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","20",",E","17",",E","1",",E","","","","","","","","","","","","","37.5",",,E,23,","","","","","","","199.1",",,,E","","","","","",""
"IS000002011","1942-01","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","8",",E","6",",E","0",",E","","","","","","","","","","","","","13.7",",,E,03,","","","","","","","58.0",",,,E","","","","","",""
"IS000002011","1942-02","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","5",",E","4",",E","1",",E","","","","","","","","","","","","","27.2",",,E,21,","","","","","","","56.8",",,,E","","","","","",""
"IS000002011","1942-03","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","6",",E","4",",E","0",",E","","","","","","","","","","","","","10.7",",,E,04,","","","","","","","31.9",",,,E","","","","","",""
"IS000002011","1942-04","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,30,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1942-05","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1942-06","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,30,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1942-07","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,31,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1942-08","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.1",",,E,31,","","","","","","","0.1",",,,E","","","","","",""
"IS000002011","1942-09","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","0",",E","0",",E","0",",E","","","","","","","","","","","","","0.0",",,E,30,+","","","","","","","0.0",",,,E","","","","","",""
"IS000002011","1942-10","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","11",",E","5",",E","2",",E","","","","","","","","","","","","","65.2",",,E,17,","","","","","","","144.8",",,,E","","","","","",""
"IS000002011","1942-11","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","10",",E","7",",E","0",",E","","","","","","","","","","","","","18.5",",,E,19,","","","","","","","67.9",",,,E","","","","","",""
"IS000002011","1942-12","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","6",",E","2",",E","0",",E","","","","","","","","","","","","","2.8",",,E,03,","","","","","","","9.4",",,,E","","","","","",""
"IS000002011","1943-01","32.1","34.7831","3.0","TEL AVIV READING, IS","","","","","16",",E","14",",E","2",",E","","","","","","","","","","","","","46.2",",,E,17,","","","","","","","212.1",",,,E","","","","","",""
