שם תחנה,מספר תחנה,תאריך,שעה-LST,טמפרטורה(C°),טמפרטורה לחה(C°),טמפרטורת נקודת הטל(C°),לחות יחסית(%),מהירות הרוח(m/s),כיוון הרוח(מעלות),לחץ בגובה התחנה(hPa),לחץ בגובה פני הים(hPa),כמות עננים כוללת(קוד),כמות עננים נמוכים(קוד),גובה בסיס עננים נמוכים(קוד),סוג העננים הנמוכים(קוד),סוג העננים הבינוניים(קוד),סוג העננים הגבוהים(קוד),מזג אוויר נוכחי(קוד),מזג אוויר שחלף(קוד),ראות אפקית(קוד)
בית דגן                                           ,2523,01-01-2020,02:00,7.9,7.2,6.4,90,1.7,117,1015.0,1018.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,01-01-2020,05:00,7.5,7.0,6.4,93,1.2,116,1014.3,1018.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,01-01-2020,08:00,8.6,8.3,8.0,96,1.1,107,1014.4,1018.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,01-01-2020,11:00,15.9,13.1,10.6,71,2.4,196,1013.7,1017.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,01-01-2020,14:00,18.1,14.0,10.4,61,2.8,264,1011.6,1015.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,01-01-2020,17:00,15.4,12.6,9.9,70,0.9,243,1011.9,1015.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,01-01-2020,20:00,13.1,11.7,10.5,84,1.8,121,1012.2,1016.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,01-01-2020,23:00,12.4,11.3,10.3,87,0.3,150,1011.6,1015.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,02-01-2020,02:00,11.1,10.3,9.5,90,1.1,128,1010.8,1014.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,02-01-2020,05:00,9.2,8.8,8.4,95,1.2,67,1010.9,1014.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,02-01-2020,08:00,11.4,10.4,9.5,88,2.1,166,1011.5,1015.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,02-01-2020,11:00,13.3,12.7,12.2,93,2.0,291,1012.4,1016.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,02-01-2020,14:00,13.4,12.6,12.0,91,2.8,64,1011.3,1015.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,02-01-2020,17:00,14.2,11.6,9.2,72,2.4,220,1012.2,1015.9,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,02-01-2020,20:00,11.8,10.4,9.0,83,1.9,142,1013.2,1017.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,02-01-2020,23:00,11.4,10.1,8.8,84,1.9,138,1013.8,1017.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,03-01-2020,02:00,12.3,10.0,7.6,73,4.2,186,1013.4,1017.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,03-01-2020,05:00,11.8,9.0,5.9,67,4.6,174,1013.6,1017.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,03-01-2020,08:00,12.0,8.7,4.7,61,5.8,181,1014.7,1018.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,03-01-2020,11:00,15.0,11.2,7.0,59,7.2,211,1014.8,1018.5,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,03-01-2020,14:00,15.0,10.7,6.0,55,5.2,224,1013.6,1017.3,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,03-01-2020,17:00,13.7,9.4,4.3,53,3.3,205,1013.3,1017.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,03-01-2020,20:00,12.8,8.4,2.6,50,4.9,179,1013.3,1017.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,03-01-2020,23:00,11.8,7.6,1.7,50,6.2,201,1013.0,1016.8,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,04-01-2020,02:00,11.8,7.2,0.5,46,7.5,187,1012.3,1016.1,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,04-01-2020,05:00,11.2,7.1,1.4,51,7.0,193,1010.9,1014.7,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,04-01-2020,08:00,10.5,7.3,3.0,60,8.1,181,1011.6,1015.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,04-01-2020,11:00,10.2,9.0,7.6,84,3.9,357,1011.6,1015.4,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,04-01-2020,14:00,9.8,9.5,9.2,96,4.2,114,1010.4,1014.2,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,04-01-2020,17:00,10.5,10.3,10.0,97,3.0,143,1011.2,1015.0,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,04-01-2020,20:00,11.2,11.0,10.7,97,5.8,186,1011.8,1015.6,-,-,-,-,-,-,-,-,-
בית דגן                                           ,2523,04-01-2020,23:00,11.7,11.4,11.1,96,5.0,203,1012.6,1016.4,-,-,-,-,-,-,-,-,-
