שם תחנה,מספר תחנה,תאריך,סוג קרינה(),05-06 LST(kJ/m²),06-07 LST(kJ/m²),07-08 LST(kJ/m²),08-09 LST(kJ/m²),09-10 LST(kJ/m²),10-11 LST(kJ/m²),11-12 LST(kJ/m²),12-13 LST(kJ/m²),13-14 LST(kJ/m²),14-15 LST(kJ/m²),15-16 LST(kJ/m²),16-17 LST(kJ/m²),17-18 LST(kJ/m²),18-19 LST(kJ/m²)
בית דגן קרינה                                     ,2524,01-01-2020,ישירה,0,3.6,72,428.4,1393.2,1281.6,1911.6,1414.8,1112.4,1083.6,752.4,0,0,0
בית דגן קרינה                                     ,2524,01-01-2020,מפוזרת,0,10.8,216,403.2,543.6,586.8,590.4,684,770.4,637.2,252,57.6,0,0
בית דגן קרינה                                     ,2524,01-01-2020,גלובאלית,0,10.8,270,594,1252.8,1407.6,1800,1587.6,1443.6,1123.2,482.4,57.6,0,0
בית דגן קרינה                                     ,2524,02-01-2020,ישירה,0,3.6,57.6,100.8,471.6,0,0,32.4,140.4,334.8,680.4,79.2,0,0
בית דגן קרינה                                     ,2524,02-01-2020,מפוזרת,0,10.8,198,450,741.6,82.8,122.4,262.8,518.4,432,298.8,64.8,0,0
בית דגן קרינה                                     ,2524,02-01-2020,גלובאלית,0,10.8,241.2,518.4,1018.8,93.6,129.6,345.6,720,673.2,478.8,82.8,0,0
בית דגן קרינה                                     ,2524,03-01-2020,ישירה,0,3.6,1083.6,2566.8,2984.4,2527.2,1994.4,2124,1321.2,1314,1832.4,7.2,0,0
בית דגן קרינה                                     ,2524,03-01-2020,מפוזרת,0,7.2,118.8,198,237.6,439.2,669.6,655.2,558,417.6,212.4,43.2,0,0
בית דגן קרינה                                     ,2524,03-01-2020,גלובאלית,0,10.8,334.8,1040.4,1612.8,1846.8,1904.4,1947.6,1296,964.8,669.6,46.8,0,0
בית דגן קרינה                                     ,2524,04-01-2020,ישירה,0,0,3.6,3.6,0,3.6,0,0,3.6,3.6,14.4,0,0,0
בית דגן קרינה                                     ,2524,04-01-2020,מפוזרת,0,0,90,223.2,198,187.2,86.4,72,338.4,136.8,172.8,32.4,0,0
בית דגן קרינה                                     ,2524,04-01-2020,גלובאלית,0,3.6,97.2,237.6,208.8,208.8,93.6,79.2,352.8,144,183.6,36,0,0
בית דגן קרינה                                     ,2524,05-01-2020,ישירה,0,3.6,0,0,0,151.2,244.8,450,702,1414.8,176.4,0,0,0
בית דגן קרינה                                     ,2524,05-01-2020,מפוזרת,0,7.2,108,212.4,388.8,727.2,1044,770.4,792,522,316.8,75.6,0,0
בית דגן קרינה                                     ,2524,05-01-2020,גלובאלית,0,7.2,118.8,226.8,421.2,882,1296,1090.8,1242,1101.6,388.8,79.2,0,0
בית דגן קרינה                                     ,2524,06-01-2020,ישירה,0,-,-,-,3052.8,3229.2,3283.2,3110.4,2700,2811.6,2397.6,637.2,0,0
בית דגן קרינה                                     ,2524,06-01-2020,מפוזרת,0,7.2,115.2,183.6,216,241.2,255.6,270,309.6,234,151.2,46.8,0,0
בית דגן קרינה                                     ,2524,06-01-2020,גלובאלית,0,10.8,342,1033.2,1602,2001.6,2185.2,2055.6,1684.8,1342.8,727.2,111.6,0,0
בית דגן קרינה                                     ,2524,07-01-2020,ישירה,0,3.6,612,1990.8,2581.2,2854.8,1821.6,82.8,0,0,0,0,0,0
בית דגן קרינה                                     ,2524,07-01-2020,מפוזרת,0,10.8,172.8,284.4,331.2,360,777.6,914.4,277.2,277.2,169.2,21.6,0,0
בית דגן קרינה                                     ,2524,07-01-2020,גלובאלית,0,10.8,313.2,975.6,1555.2,1980,1940.4,1029.6,288,288,172.8,21.6,0,0
בית דגן קרינה                                     ,2524,08-01-2020,ישירה,0,3.6,421.2,1846.8,2426.4,774,129.6,39.6,0,72,0,0,0,0
בית דגן קרינה                                     ,2524,08-01-2020,מפוזרת,0,7.2,201.6,478.8,723.6,1069.2,795.6,687.6,500.4,334.8,190.8,39.6,0,0
בית דגן קרינה                                     ,2524,08-01-2020,גלובאלית,0,7.2,309.6,1155.6,1936.8,1645.2,936,745.2,525.6,421.2,201.6,46.8,0,0
בית דגן קרינה                                     ,2524,09-01-2020,ישירה,0,3.6,3.6,0,0,3.6,0,0,0,0,0,0,0,0
בית דגן קרינה                                     ,2524,09-01-2020,מפוזרת,0,7.2,115.2,21.6,126,262.8,172.8,226.8,327.6,208.8,302.4,64.8,0,0
בית דגן קרינה                                     ,2524,09-01-2020,גלובאלית,0,7.2,122.4,21.6,129.6,273.6,180,241.2,342,219.6,316.8,68.4,0,0
בית דגן קרינה                                     ,2524,10-01-2020,ישירה,0,0,0,7.2,0,7.2,154.8,1494,396,1213.2,784.8,439.2,0,0
בית דגן קרינה                                     ,2524,10-01-2020,מפוזרת,0,3.6,82.8,446.4,432,788.4,1065.6,972,500.4,518.4,288,68.4,0,0
בית דגן קרינה                                     ,2524,10-01-2020,גלובאלית,0,3.6,90,468,453.6,828,1285.2,1980,763.2,1065.6,496.8,129.6,0,0
בית דגן קרינה                                     ,2524,11-01-2020,מפוזרת,0,10.8,144,234,295.2,327.6,403.2,612,572.4,453.6,176.4,18,0,0
בית דגן קרינה                                     ,2524,11-01-2020,גלובאלית,0,14.4,342,1015.2,1587.6,1987.2,2217.6,2138.4,2005.2,1094.4,194.4,18,0,0
בית דגן קרינה                                     ,2524,11-01-2020,ישירה,0,14.4,1123.2,2347.2,2728.8,2919.6,2991.6,2530.8,2678.4,1357.2,32.4,0,0,0
